Number,Time
1042,0.141
1043,0.132
1044,0.142
1045,0.172
1046,0.154
1047,0.135
1048,0.12
1049,2.629
1050,0.136
1051,2.311
1052,0.164
1053,0.151
1054,0.135
1055,0.141
1056,0.136
1057,0.222
1058,0.138
1059,0.119
1060,0.132
1061,2.305
1062,0.148
1063,2.467
1064,0.153
1065,0.175
1066,0.12
1067,0.134
1068,0.141
1069,2.494
1070,0.138
1071,0.135
1072,0.134
1073,0.22
1074,0.132
1075,0.134
1076,0.134
1077,0.16
1078,0.137
1079,0.138
1080,0.136
1081,0.176
1082,0.135
1083,0.135
1084,0.136
1085,0.158
1086,0.139
1087,2.321
1088,0.142
1089,0.233
1090,0.242
1091,2.548
1092,0.15
1093,2.52
1094,0.135
1095,0.136
1096,0.14
1097,2.525
1098,0.121
1099,0.135
1100,0.139
1101,0.171
1102,0.135
1103,2.631
1104,0.149
1105,0.22
1106,0.137
1107,0.113
1108,0.133
1109,2.522
1110,0.133
1111,0.14
1112,0.138
1113,0.189
1114,0.123
1115,0.145
1116,0.125
1117,2.392
1118,0.127
1119,0.144
1120,0.127
1121,0.202
1122,0.129
1123,2.422
1124,0.152
1125,0.16
1126,0.125
1127,0.131
1128,0.136
1129,2.843
1130,0.135
1131,0.127
1132,0.13
1133,0.162
1134,0.127
1135,0.145
1136,0.13
1137,0.193
1138,0.124
1139,0.128
1140,0.126
1141,0.18
1142,0.13
1143,0.147
1144,0.127
1145,0.174
1146,0.125
1147,0.132
1148,0.127
1149,0.154
1150,0.131
1151,2.552
1152,0.148
1153,3.125
1154,0.133
1155,0.133
1156,0.125
1157,0.155
1158,0.126
1159,0.135
1160,0.135
1161,0.166
1162,0.132
1163,2.379
1164,0.154
1165,0.17
1166,0.155
1167,0.124
1168,0.133
1169,0.197
1170,0.135
1171,2.35
1172,0.15
1173,0.172
1174,0.125
1175,0.126
1176,0.126
1177,0.175
1178,0.12
1179,0.134
1180,0.128
1181,2.557
1182,0.137
1183,0.156
1184,0.16
1185,0.242
1186,0.132
1187,2.377
1188,0.156
1189,0.151
1190,0.124
1191,0.129
1192,0.128
1193,2.574
1194,0.127
1195,0.134
1196,0.133
1197,0.177
1198,0.13
1199,0.138
1200,0.127
1201,2.667
1202,0.125
1203,0.141
1204,0.128
1205,0.152
1206,0.126
1207,0.141
1208,0.128
1209,0.175
1210,0.129
1211,0.14
1212,0.138
1213,2.558
1214,0.132
1215,0.142
1216,0.135
1217,3.133
1218,0.126
1219,0.135
1220,0.129
1221,0.184
1222,0.121
1223,2.606
1224,0.143
1225,0.182
1226,0.129
1227,0.138
1228,0.13
1229,2.515
1230,0.124
1231,2.513
1232,0.171
1233,0.237
1234,0.139
1235,0.143
1236,0.135
1237,2.553
1238,0.128
1239,0.125
1240,0.141
1241,0.188
1242,0.138
1243,0.116
1244,0.138
1245,0.183
1246,0.144
1247,0.143
1248,0.139
1249,2.822
1250,0.127
1251,0.13
1252,0.138
1253,0.161
1254,0.14
1255,0.14
1256,0.139
1257,0.185
1258,0.137
1259,2.374
1260,0.153
1261,0.169
1262,0.14
1263,0.133
1264,0.139
1265,0.222
1266,0.123
1267,0.152
1268,0.13
1269,0.162
1270,0.135
1271,0.144
1272,0.13
1273,0.182
1274,0.129
1275,0.141
1276,0.141
1277,2.641
1278,0.137
1279,2.452
1280,0.151
1281,0.27
1282,0.137
1283,2.398
1284,0.147
1285,0.161
1286,0.135
1287,0.135
1288,0.135
1289,2.675
